Student,Period,Class,Is_new_sub,Average_grade,Perform_trend,Gender_М,Subject_3,Subject_4,Subject_5
8,4,8,0,3.76,0,False,0.1346153846153846,0.33653846153846156,0.5288461538461539
65,1,11,0,4.34,0,False,0.16554054054054054,0.3581081081081081,0.47635135135135137
4,3,9,0,3.89,1,False,0.5405405405405406,0.38175675675675674,0.0777027027027027
23,3,8,0,4.08,-2,False,0.16891891891891891,0.668918918918919,0.16216216216216217
59,2,10,0,4.0,0,True,0.7297297297297297,0.19594594594594594,0.0472972972972973
24,3,9,0,3.97,0,False,0.34797297297297297,0.3614864864864865,0.2905405405405405
25,1,8,1,3.83,0,False,0.25139664804469275,0.4245810055865922,0.3240223463687151
5,2,8,0,3.33,0,True,0.4807692307692308,0.3942307692307692,0.125
26,3,8,0,3.56,1,True,0.1891891891891892,0.5371621621621622,0.27364864864864863
57,1,11,0,4.0,0,True,0.25675675675675674,0.5337837837837838,0.20945945945945946
18,1,8,1,3.39,0,True,0.033783783783783786,0.5337837837837838,0.43243243243243246
57,1,10,1,4.12,0,True,0.34797297297297297,0.3614864864864865,0.2905405405405405
20,4,8,0,3.37,0,True,0.16891891891891891,0.668918918918919,0.16216216216216217
72,1,10,1,4.38,0,False,0.0,0.0,1.0
15,3,9,0,3.77,0,True,0.0,0.08854166666666667,0.9114583333333334
67,1,10,1,4.44,0,True,0.16891891891891891,0.668918918918919,0.16216216216216217
3,3,8,0,3.33,0,True,0.5405405405405406,0.38175675675675674,0.0777027027027027
20,1,8,1,3.39,0,True,0.5405405405405406,0.38175675675675674,0.0777027027027027
19,2,9,0,3.74,-1,True,0.40625,0.4322916666666667,0.14583333333333334
14,3,8,0,4.11,0,False,0.0,0.4326923076923077,0.5673076923076923
58,2,10,0,3.88,0,True,0.1858108108108108,0.6418918918918919,0.17229729729729729
20,3,8,0,3.39,-1,True,0.27364864864864863,0.6182432432432432,0.10810810810810811
68,1,10,1,4.31,0,False,0.17567567567567569,0.6148648648648649,0.20945945945945946
10,3,9,0,4.23,0,False,0.16554054054054054,0.3581081081081081,0.47635135135135137
5,2,9,0,3.44,0,True,0.25675675675675674,0.5337837837837838,0.20945945945945946
23,3,9,0,4.08,1,False,0.34797297297297297,0.3614864864864865,0.2905405405405405
21,1,8,1,4.11,0,False,0.1891891891891892,0.5371621621621622,0.27364864864864863
55,1,10,1,4.38,0,False,0.1858108108108108,0.6418918918918919,0.17229729729729729
20,3,9,0,3.36,1,True,0.0111731843575419,0.26256983240223464,0.7262569832402235
20,4,8,0,3.37,1,True,0.16554054054054054,0.3581081081081081,0.47635135135135137
28,1,11,0,5.0,0,False,0.0,0.08854166666666667,0.9114583333333334
26,4,8,0,3.57,0,True,0.0,0.4326923076923077,0.5673076923076923
10,2,9,0,4.22,0,False,0.7297297297297297,0.19594594594594594,0.0472972972972973
10,2,8,0,4.17,0,False,0.1346153846153846,0.33653846153846156,0.5288461538461539
46,2,11,0,4.19,0,False,0.27364864864864863,0.6182432432432432,0.10810810810810811
21,3,9,0,4.19,0,False,0.1858108108108108,0.6418918918918919,0.17229729729729729
58,2,10,0,3.88,-1,True,0.16554054054054054,0.3581081081081081,0.47635135135135137
25,1,9,1,3.99,0,False,0.0,0.08854166666666667,0.9114583333333334
15,3,8,0,3.72,-1,True,0.033783783783783786,0.5337837837837838,0.43243243243243246
63,2,10,0,4.25,1,True,0.7297297297297297,0.19594594594594594,0.0472972972972973
3,1,9,0,3.35,0,True,0.5363128491620112,0.35195530726256985,0.11173184357541899
42,2,11,0,4.25,0,False,0.16554054054054054,0.3581081081081081,0.47635135135135137
8,3,8,0,3.81,0,False,0.25675675675675674,0.5337837837837838,0.20945945945945946
26,3,8,0,3.56,0,True,0.0111731843575419,0.26256983240223464,0.7262569832402235
17,3,9,0,3.58,0,True,0.6554054054054054,0.2702702702702703,0.060810810810810814
70,1,11,0,4.12,0,False,0.17567567567567569,0.6148648648648649,0.20945945945945946
12,4,8,0,3.72,-1,True,0.0111731843575419,0.26256983240223464,0.7262569832402235
46,1,11,0,4.19,0,False,0.0,0.0,1.0
22,3,9,0,4.61,0,False,0.25675675675675674,0.5337837837837838,0.20945945945945946
9,4,8,0,4.04,0,True,0.6554054054054054,0.2702702702702703,0.060810810810810814
71,1,11,0,4.28,0,True,0.0,0.08854166666666667,0.9114583333333334
23,1,8,1,4.0,0,False,0.0111731843575419,0.26256983240223464,0.7262569832402235
6,1,8,1,4.33,0,False,0.5405405405405406,0.38175675675675674,0.0777027027027027
25,1,8,1,3.83,0,False,0.16891891891891891,0.668918918918919,0.16216216216216217
27,2,11,0,4.44,0,True,0.6554054054054054,0.2702702702702703,0.060810810810810814
61,1,11,0,4.44,0,False,0.17567567567567569,0.6148648648648649,0.20945945945945946
24,2,8,0,3.72,-1,False,0.1858108108108108,0.6418918918918919,0.17229729729729729
4,1,9,0,3.89,0,False,0.6554054054054054,0.2702702702702703,0.060810810810810814
8,2,9,0,3.8,0,False,0.34797297297297297,0.3614864864864865,0.2905405405405405
39,2,11,0,4.25,-1,True,0.16891891891891891,0.668918918918919,0.16216216216216217
65,2,10,0,4.31,0,False,0.7297297297297297,0.19594594594594594,0.0472972972972973
60,1,10,1,4.0,0,True,0.16891891891891891,0.668918918918919,0.16216216216216217
69,1,10,1,4.38,0,False,0.40625,0.4322916666666667,0.14583333333333334
73,2,10,0,4.94,0,True,0.25675675675675674,0.5337837837837838,0.20945945945945946
63,1,11,0,4.25,0,True,0.1858108108108108,0.6418918918918919,0.17229729729729729
7,2,8,0,3.44,1,True,0.1346153846153846,0.33653846153846156,0.5288461538461539
3,3,9,0,3.29,0,True,0.34797297297297297,0.3614864864864865,0.2905405405405405
24,4,8,0,3.83,1,False,0.0,0.4326923076923077,0.5673076923076923
53,1,10,1,4.12,0,False,0.1858108108108108,0.6418918918918919,0.17229729729729729
37,2,11,0,4.5,-1,False,0.033783783783783786,0.5337837837837838,0.43243243243243246
1,1,9,0,3.97,0,True,0.6554054054054054,0.2702702702702703,0.060810810810810814
72,1,11,0,4.38,0,False,0.0,0.08854166666666667,0.9114583333333334
52,1,11,0,5.0,0,False,0.27364864864864863,0.6182432432432432,0.10810810810810811
9,2,8,0,4.0,0,True,0.5363128491620112,0.35195530726256985,0.11173184357541899
